Year,Quarter,Label,Sales,Profit,Orders,Profit_Margin_Pct
2014,1,Q1 2014,94925,14234,589,15.0
2014,2,Q2 2014,118681,16247,703,13.7
2014,3,Q3 2014,144082,20117,834,14.0
2014,4,Q4 2014,196648,25439,1036,12.9
2015,1,Q1 2015,99238,12872,601,13.0
2015,2,Q2 2015,132591,17831,778,13.4
2015,3,Q3 2015,163724,22091,921,13.5
2015,4,Q4 2015,209438,27143,1094,13.0
2016,1,Q1 2016,108341,14529,654,13.4
2016,2,Q2 2016,145874,19102,857,13.1
2016,3,Q3 2016,179218,24387,1012,13.6
2016,4,Q4 2016,230891,29412,1198,12.7
2017,1,Q1 2017,128843,17821,756,13.8
2017,2,Q2 2017,173924,23019,987,13.2
2017,3,Q3 2017,208871,29134,1147,13.9
2017,4,Q4 2017,296937,38892,1423,13.1
